Kids,Vote,Politics,Score
1,1,1,36
1,1,1,40
1,1,1,32
1,1,1,39
1,1,1,33
1,2,1,35
1,2,1,40
1,2,1,30
1,2,1,39
1,2,1,31
1,1,2,14
1,1,2,21
1,1,2,7
1,1,2,20
1,1,2,8
1,2,2,32
1,2,2,39
1,2,2,25
1,2,2,38
1,2,2,26
1,1,3,10
1,1,3,18
1,1,3,2
1,1,3,15
1,1,3,5
1,2,3,15
1,2,3,21
1,2,3,9
1,2,3,22
1,2,3,8
2,1,1,33
2,1,1,40
2,1,1,26
2,1,1,40
2,1,1,26
2,2,1,28
2,2,1,35
2,2,1,21
2,2,1,36
2,2,1,20
2,1,2,35
2,1,2,40
2,1,2,30
2,1,2,39
2,1,2,31
2,2,2,18
2,2,2,25
2,2,2,11
2,2,2,22
2,2,2,14
2,1,3,20
2,1,3,27
2,1,3,13
2,1,3,26
2,1,3,14
2,2,3,36
2,2,3,40
2,2,3,32
2,2,3,40
2,2,3,32
