Resolution,LightLevel,LivesLost
QVGA,Low light,6
QVGA,Low light,12
QVGA,Low light,6
QVGA,Low light,8
QVGA,High light,17
QVGA,High light,11
QVGA,High light,17
QVGA,High light,15
VGA,Low light,13
VGA,Low light,6
VGA,Low light,10
VGA,Low light,7
VGA,High light,21
VGA,High light,14
VGA,High light,18
VGA,High light,15
SVGA,Low light,8
SVGA,Low light,10
SVGA,Low light,4
SVGA,Low light,10
SVGA,High light,17
SVGA,High light,11
SVGA,High light,17
SVGA,High light,19
XGA,Low light,18
XGA,Low light,12
XGA,Low light,17
XGA,Low light,11
XGA,High light,4
XGA,High light,8
XGA,High light,11
XGA,High light,9
UXGA,Low light,12
UXGA,Low light,11
UXGA,Low light,9
UXGA,Low light,9
UXGA,High light,7
UXGA,High light,5
UXGA,High light,9
UXGA,High light,11
