A,B,C,DV
1,1,1,2.66
1,1,1,2.98
1,1,1,2.96
1,1,1,3.01
1,1,1,3.15
2,1,1,3.16
2,1,1,3.25
2,1,1,3.08
2,1,1,3
2,1,1,3.34
3,1,1,3.3
3,1,1,3.35
3,1,1,3.4
3,1,1,3.45
3,1,1,3.5
1,2,1,2.87
1,2,1,2.99
1,2,1,2.65
1,2,1,3.05
1,2,1,3.1
2,2,1,3.16
2,2,1,3.27
2,2,1,3.53
2,2,1,3.13
2,2,1,3.27
3,2,1,3.5
3,2,1,3.5
3,2,1,3.55
3,2,1,3.6
3,2,1,3.65
1,1,2,3.01
1,1,2,3
1,1,2,1.95
1,1,2,2.9
1,1,2,2.25
2,1,2,3.35
2,1,2,3.4
2,1,2,3.45
2,1,2,3.41
2,1,2,3.08
3,1,2,3.4
3,1,2,3.45
3,1,2,3.5
3,1,2,3.55
3,1,2,3.6
1,2,2,2.16
1,2,2,2.24
1,2,2,3.11
1,2,2,2.94
1,2,2,2.55
2,2,2,3.09
2,2,2,3.1
2,2,2,3.15
2,2,2,3.2
2,2,2,3.25
3,2,2,3.6
3,2,2,3.65
3,2,2,3.7
3,2,2,3.8
3,2,2,3.75
